date,open,high,low,close,Volume,K,D
6/2/2017,2413.58,2489,2370.03,2488.94,12453.36508,32.06777812,25.20022135
6/3/2017,2488.94,2584.34,2445,2540.94,10833.95566,39.67435877,31.416559
6/4/2017,2538.1,2569,2460,2530.27,8865.371862,42.6642165,38.13545113
6/5/2017,2530.27,2699.35,2525.28,2698,12266.7184,48.1103618,43.48297902
6/6/2017,2698,2933,2689.4,2880.74,26784.37317,56.13777158,48.97078329
6/7/2017,2875.71,2893.28,2612.5,2683.03,17104.31173,56.61586349,53.62133229
6/8/2017,2680.24,2815,2613.13,2806,13302.12706,57.09642118,56.61668542
6/9/2017,2805.46,2868.23,2780.43,2822.32,8058.996804,54.0894959,55.93392686
6/10/2017,2818,2912.98,2800,2899.99,9626.011142,60.20692645,57.13094784
6/11/2017,2899.01,2967.46,2861.53,2954.22,6836.724676,63.96609797,59.42084011
6/12/2017,2954.23,2980,2480.03,2667.06,31512.94154,43.95159633,56.04154025
6/13/2017,2656.97,2783.62,2638.62,2703.02,16334.76383,24.96254164,44.29341198
6/14/2017,2705.99,2801,2320,2450,29741.46908,1.799296148,23.57114471
6/15/2017,2451.42,2516.2,2120,2424.91,36802.5364,1.799296148,9.52037798
6/16/2017,2424.96,2540,2307.66,2484.68,13810.16912,2.432276175,2.01028949
6/17/2017,2484.68,2674.4,2420.53,2630,11156.46219,10.36293826,4.86483686
6/18/2017,2630.06,2665,2460.62,2516.98,9437.451574,13.31761821,8.704277546
6/19/2017,2516.98,2598,2480.96,2598,10586.02503,16.91121435,13.53059027
6/20/2017,2598,2783,2581,2740,15902.99909,22.26327652,17.49736969
6/21/2017,2734.03,2789,2611,2657.04,15703.64404,27.93388272,22.36945786
6/22/2017,2658.67,2740,2594.61,2713.48,10808.89687,32.98262424,27.72659449
6/23/2017,2713.48,2745,2657.46,2685.05,8258.495577,29.08118657,29.99923118
6/24/2017,2685.05,2724.96,2512.13,2557.66,13358.1814,22.57812272,28.21397784
6/25/2017,2557.66,2635.72,2432,2502.03,10370.90319,11.50350888,21.05427272
6/26/2017,2502.26,2550.03,2315.01,2421.22,22164.98265,2.122222301,12.0679513
6/27/2017,2421.21,2564.97,2291,2561.86,19137.38551,14.09857762,9.241436266
6/28/2017,2565,2593,2468.01,2559.9,12301.56268,27.99545383,14.73875125
6/29/2017,2550.99,2594.78,2500.31,2541.59,8132.807931,39.89720509,27.33041218
6/30/2017,2538.41,2564.58,2451,2465.49,8774.931838,29.46958365,32.45408086
7/1/2017,2465.48,2517.11,2390,2412.41,8937.717902,15.57270744,28.31316539
7/2/2017,2421.3,2528.72,2374.34,2504.37,8752.999396,14.04189159,19.69472756
7/3/2017,2504.81,2595,2472.68,2550.47,11575.0476,25.68887905,18.43449269
7/4/2017,2540.07,2639.47,2540.07,2596.12,9671.295646,48.45754556,29.3961054
7/5/2017,2594.52,2623,2530.1,2602.9,10948.14011,61.68883388,45.2784195
7/6/2017,2602.9,2614,2522,2600.39,8360.283455,72.13604094,60.76080679
7/7/2017,2599.01,2605,2475,2501.46,9447.231766,61.39955306,65.07480929
7/8/2017,2501.46,2555,2462,2550.07,5407.296632,59.82483545,64.45347649
7/9/2017,2550.13,2564.65,2500.5,2502.28,4495.069441,46.15406111,55.79281654
7/10/2017,2504,2527.88,2261.85,2323.45,17409.5555,34.12188248,46.70025968
7/11/2017,2323.45,2399,2242.62,2305.98,17644.10554,12.09437636,30.79010665
7/12/2017,2301.55,2408.84,2239.54,2388,12896.36405,11.36373412,19.19333099
7/13/2017,2383.97,2425.16,2312.93,2339.99,8446.362642,17.72542255,13.72784434
7/14/2017,2340,2357.84,2140,2213.37,12719.93725,17.72542255,15.60485974
7/15/2017,2209.44,2219.99,1967.65,1970.51,19903.72187,6.36168843,13.93751118
7/16/2017,1970.51,2044.44,1830,1917.63,25583.91957,0,8.029036993
7/17/2017,1917.72,2229.97,1910.57,2226,26532.04989,20.53684047,8.966176298
7/18/2017,2226,2392,2164,2303.71,25322.41631,45.1725811,21.90314052
7/19/2017,2308.82,2402.5,2223,2265.21,17071.7203,68.13997559,44.61646572
7/20/2017,2265.51,2938,2265.51,2875.03,30988.93674,80.93646846,64.74967505
7/21/2017,2880,2887.45,2611.39,2670,20724.1605,83.19860036,77.4250148
7/22/2017,2667.01,2882,2644.59,2832.71,12819.63135,90.51658464,84.88388449
7/23/2017,2824.82,2855,2640,2749.02,11001.9646,84.93867702,86.21795401
7/24/2017,2756.8,2800,2701,2759.98,10001.91507,86.04214023,87.16580063
7/25/2017,2759.95,2775.79,2450,2564.82,21326.54784,77.9299459,82.97025438
7/26/2017,2564.74,2608.96,2400,2524.99,17713.67447,71.22999915,78.40069509
7/27/2017,2524.99,2695,2509.63,2666.33,11826.4752,68.0018816,72.38727555
7/28/2017,2666.33,2825,2655.82,2777.01,14069.50149,73.30058336,70.8441547
7/29/2017,2777.01,2785.65,2631.78,2680.56,10782.21754,76.67248303,72.658316
7/30/2017,2681.6,2774.45,2569.69,2742.37,9678.161261,72.0883182,74.02046153
7/31/2017,2745.76,2889.99,2680.01,2855.81,11114.33554,69.11377607,72.6248591
8/1/2017,2855.81,2929.17,2615,2731,12525.07669,60.91933094,67.37380841
8/2/2017,2732,2760,2650,2703.51,9486.625526,48.1274829,59.38686331
8/3/2017,2703.51,2807.44,2698.83,2793.37,7963.697999,42.60571966,50.5508445
8/4/2017,2793.34,2877.52,2765.91,2855,6393.841184,51.43977394,47.39099217
8/5/2017,2851.01,3339.66,2848.32,3263.62,16996.2731,77.37590195,57.14046518
8/6/2017,3263.51,3296.51,3146.1,3222.75,5998.735789,88.5413243,72.4523334
8/7/2017,3216.78,3430,3186,3387.55,11938.15273,96.80766986,87.57496537
8/8/2017,3387.54,3490,3300,3412.41,15835.37021,96.80766986,94.05222134
8/9/2017,3408.46,3423.1,3178.72,3342.99,14286.84414,93.72182985,95.77905652
8/10/2017,3342.99,3448,3311.17,3413.03,9031.12128,90.55070822,93.69340265
8/11/2017,3410,3705,3390.67,3645.06,11927.37333,90.55070822,91.60774877
8/12/2017,3651.74,3934,3586.95,3855.1,12351.07466,96.82887837,92.64343161
8/13/2017,3855.04,4190,3841.71,4053.87,15889.82979,100,95.79319553
8/14/2017,4053.87,4329.43,3964.96,4306.23,14212.30421,100,98.94295946
8/15/2017,4320.95,4400,3800,4155.67,25515.71801,92.49401979,97.4980066
8/16/2017,4154.99,4379.78,3926.06,4378.84,12923.63728,87.80875585,93.43425855
8/17/2017,4361.99,4480,4167.21,4276.5,14573.18593,77.03113838,85.77797134
8/18/2017,4260.47,4368,3964.96,4100,17516.99336,54.11009138,72.98332854
8/19/2017,4100,4188,3900,4099.55,15036.18405,28.33314363,53.15812447
8/20/2017,4091.99,4125.95,4000,4058.68,6237.972896,5.777427773,29.4068876
8/21/2017,4058.64,4080,3949.78,3987.52,9782.056594,2.871121651,12.32723102
8/22/2017,3987.51,4139.31,3600,4085,23522.75817,3.855451885,4.168000436
8/23/2017,4078,4248.97,4051.94,4108.12,14979.40348,8.626511444,5.117694993
8/24/2017,4121.78,4350,4082.57,4300.34,10782.69437,20.56187011,11.01461115
8/25/2017,4308.8,4449.98,4270,4355.98,9699.610034,30.55416594,19.9141825
8/26/2017,4348.17,4369.78,4232.43,4333.38,6559.668604,37.71065158,29.60889588
8/27/2017,4333.38,4393.3,4290.32,4337.68,3979.124453,37.87123754,35.37868502
8/28/2017,4329.91,4399.72,4169.01,4379.99,8641.002446,41.15748157,38.91312356
8/29/2017,4385,4649.78,4336.26,4578.82,11879.64283,55.43105274,44.81992395
8/30/2017,4578.82,4642.22,4479,4573.2,8720.03504,75.77830785,57.45561405
8/31/2017,4573.15,4765.21,4566.66,4734.26,8911.412459,91.97764944,74.39567001
